gene,group,label,log2exp,time,replicate
143143_at,group1,C_12.cel,15.315609221738,12,C
142791_at,group1,C_12.cel,15.326612178824,12,C
142356_at,group2,C_12.cel,13.8350673157243,12,C
143051_at,group2,C_12.cel,12.6260910685865,12,C
141311_at,group2,C_12.cel,13.8738794651246,12,C
141404_at,group2,C_12.cel,14.5641843426793,12,C
142200_at,group2,C_12.cel,13.6840603057315,12,C
142661_at,group3,C_12.cel,12.0627104021301,12,C
142342_at,group3,C_12.cel,8.52157714851421,12,C
141251_at,group3,C_12.cel,12.8849139910755,12,C
142709_s_at,group3,C_12.cel,11.2579406448728,12,C
